Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup,type,size_type
Bukit Bintang,7482600,5,2,4157.057,Partly Furnished,Built-up,4,1,0,Serviced Residence,Deluxe,Extra Large
Bukit Bintang,2716200,3,1,1509.009,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Large
Bukit Bintang,4000000,4,2,2405.005,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Cheras,1230000,4,2,2059.059,Unfurnished,Built-up,4,0,0,Condominium,Gold,Large
Wangsa Maju,800000,3,2,48.575,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Bukit Jalil,1550000,6,2,48.575,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Cheras,2800000,5,4,10484.084,Unfurnished,Land area,5,0,0,Bungalow,Gold,Extra Large
Jalan Kuching,1750000,4,3,3633.033,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Large
Cheras,4900000,6,8,12583.083,Partly Furnished,Land area,6,1,0,Bungalow,Deluxe,Extra Large
Cheras,600000,3,2,1450.05,Unfurnished,Built-up,3,1,0,Condominium,Bronze,Large
Setapak,680000,3,2,34.545,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Setapak,650000,2,2,37.045,Partly Furnished,Land area,3,0,0,Terrace/Link House,Silver,Small
Cheras,1150000,3,5,3400.0,Unfurnished,Land area,4,0,0,Terrace/Link House,Silver,Large
OUG,2400000,3,8,5000.0,Fully Furnished,Land area,5,0,0,Semi-detached House,Gold,Extra Large
Cheras,3900000,6,3,8750.05,Partly Furnished,Land area,6,1,0,Bungalow,Deluxe,Extra Large
Cheras,1150000,4,2,1675.075,Unfurnished,Built-up,4,0,0,Condominium,Silver,Large
Seputeh,2499000,4,2,2900.0,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Bukit Bintang,570000,1,1,550.05,Fully Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
KLCC,1250000,1,2,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence,Gold,Small
Sentul,400000,2,1,1007.007,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Sentul,460000,2,2,1062.062,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
KLCC,4958000,5,4,2651.051,Fully Furnished,Built-up,4,0,0,Serviced Residence,Deluxe,Large
Seputeh,590000,2,1,1019.019,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Setapak,545000,2,2,1500.0,Partly Furnished,Built-up,4,0,0,Condominium,Bronze,Large
Cheras,351000,1,1,526.026,Partly Furnished,Built-up,0,0,1,Condominium,Bronze,Small
Ampang,2200000,4,2,3062.062,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Cheras,570000,2,2,1394.094,Partly Furnished,Built-up,3,1,0,Condominium,Bronze,Medium
KLCC,3100000,3,1,1768.068,Partly Furnished,Built-up,3,0,0,Serviced Residence,Gold,Large
Bukit Jalil,925000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Cheras,1200000,3,1,2760.06,Partly Furnished,Built-up,4,0,0,Condominium,Gold,Large
Jalan Klang Lama (Old Klang Road),645000,2,2,1168.068,Partly Furnished,Land area,3,0,0,Condominium,Silver,Medium
Kuchai Lama,560000,2,1,936.036,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Jalan Klang Lama (Old Klang Road),650000,2,2,1168.068,Partly Furnished,Land area,3,0,0,Condominium,Silver,Medium
Bukit Jalil,1400000,4,4,1930.03,Partly Furnished,Land area,5,1,0,Condominium,Gold,Large
Bukit Jalil,1034000,3,2,1513.013,Partly Furnished,Land area,4,1,0,Condominium,Silver,Large
Bukit Jalil,1060000,3,2,1513.013,Partly Furnished,Land area,4,1,0,Condominium,Silver,Large
KLCC,1500000,2,1,1368.068,Fully Furnished,Built-up,2,0,0,Condominium,Gold,Medium
Kuchai Lama,640000,2,2,1313.013,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Kuchai Lama,650000,2,2,1313.013,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Bukit Jalil,1200000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Kuchai Lama,2100000,6,4,1700.0,Partly Furnished,Land area,5,1,0,Terrace/Link House,Gold,Large
Kepong,690000,3,4,45.07,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Setapak,520000,2,2,1378.078,Partly Furnished,Built-up,3,1,0,Condominium,Bronze,Medium
Jalan Ipoh,2000000,4,4,56.568,Partly Furnished,Land area,5,0,0,Semi-detached House,Gold,Small
Dutamas,1000000,2,2,997.097,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
KLCC,1799999,6,7,2315.015,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Bangsar South,825000,2,1,990.09,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Kuchai Lama,340000,2,1,980.08,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Kuchai Lama,1198000,6,2,48.575,Fully Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Taman Desa,1200000,6,2,48.575,Fully Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Bukit Jalil,1199000,6,2,48.575,Fully Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Taman Melawati,1638000,6,3,4430.03,Unfurnished,Built-up,5,1,0,Terrace/Link House,Gold,Extra Large
Ampang,510000,1,1,705.005,Fully Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Mont Kiara,1350000,3,2,2163.063,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Sentul,950000,3,2,1554.054,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Mont Kiara,950000,3,2,1432.032,Fully Furnished,Built-up,3,1,0,Serviced Residence,Silver,Large
Cheras,660000,3,1,2464.064,Partly Furnished,Built-up,4,0,0,Townhouse,Silver,Large
Bandar Tasik Selatan,780000,2,2,1151.051,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Bandar Tasik Selatan,630000,2,1,839.039,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Small
Sungai Besi,630000,2,1,839.039,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Small
Cheras,800000,5,4,2903.003,Partly Furnished,Land area,5,0,0,Terrace/Link House,Silver,Large
Bangsar,730000,1,1,1011.011,Fully Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Setapak,460000,2,2,1018.018,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Mont Kiara,900000,3,1,1208.008,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),395000,2,1,775.075,Partly Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Mont Kiara,2000000,5,5,2540.04,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Cheras,2380000,6,2,3500.0,Partly Furnished,Land area,5,1,0,Semi-detached House,Gold,Large
Setapak,250000,2,1,845.045,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Setapak,330000,2,2,940.04,Partly Furnished,Land area,3,0,0,Condominium,Bronze,Small
Mont Kiara,1200000,4,2,2713.013,Fully Furnished,Built-up,4,0,0,Condominium,Gold,Large
Mont Kiara,735000,2,1,1733.033,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Mont Kiara,600000,2,2,1290.09,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Mont Kiara,620000,2,2,1408.008,Partly Furnished,Built-up,3,1,0,Condominium,Bronze,Medium
Sri Hartamas,3280000,6,2,44.566,Partly Furnished,Land area,4,1,0,Bungalow,Gold,Small
Sri Hartamas,3300000,6,2,44.566,Partly Furnished,Land area,4,1,0,Bungalow,Gold,Small
KL City,480000,2,1,875.075,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Bukit Bintang,5000000,4,2,2406.006,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Kepong,1280000,4,2,46.07,Fully Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
KLCC,3800000,3,2,1786.086,Partly Furnished,Built-up,3,0,0,Serviced Residence,Deluxe,Large
Setapak,520000,2,2,1059.059,Partly Furnished,Built-up,3,1,0,Serviced Residence,Bronze,Medium
Keramat,532000,2,2,1003.003,Unfurnished,Land area,3,0,0,Condominium,Bronze,Medium
Cheras,440000,2,2,1104.004,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Setapak,460000,2,2,1219.019,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Wangsa Maju,644000,3,2,1099.099,Partly Furnished,Land area,4,0,0,Serviced Residence,Silver,Medium
Wangsa Maju,625000,2,1,948.048,Unfurnished,Built-up,4,0,0,Serviced Residence,Silver,Small
Setapak,450000,2,1,1021.021,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Setapak,860000,4,3,1800.0,Unfurnished,Built-up,6,0,0,Condominium,Silver,Large
KL City,470000,2,2,1065.065,Unfurnished,Built-up,4,0,0,Condominium,Bronze,Medium
Keramat,532000,2,2,1003.003,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
KL City,470000,2,2,1065.065,Unfurnished,Built-up,3,1,0,Condominium,Bronze,Medium
Setapak,724000,2,2,1185.085,Partly Furnished,Built-up,4,0,0,Condominium,Silver,Medium
Taman Melawati,2650000,7,3,6205.005,Partly Furnished,Built-up,7,1,0,Bungalow,Gold,Extra Large
Jalan Klang Lama (Old Klang Road),738000,2,2,1392.092,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Sungai Besi,545000,2,2,1004.004,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Klang Lama (Old Klang Road),665000,3,2,1356.056,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Kuchai Lama,520000,2,2,980.08,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Klang Lama (Old Klang Road),648000,2,2,1168.068,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),699999,2,2,1168.068,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Bukit Jalil,368000,2,1,1222.022,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Klang Lama (Old Klang Road),665000,2,1,1354.054,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Kuchai Lama,720000,2,2,1607.007,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Cheras,725000,3,2,45.565,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Cheras,1260000,5,3,48.575,Fully Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
KL Sentral,1350000,2,1,1033.033,Partly Furnished,Built-up,1,1,0,Serviced Residence,Gold,Medium
KLCC,820000,1,1,883.083,Partly Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
Cheras,399000,2,1,927.027,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Cheras,530000,3,2,47.575,Partly Furnished,Land area,5,0,0,Terrace/Link House,Bronze,Small
KLCC,2260000,3,2,1518.018,Fully Furnished,Built-up,3,0,0,Condominium,Gold,Large
Sri Petaling,365000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,1800000,5,3,54.585,Fully Furnished,Land area,6,1,0,Terrace/Link House,Gold,Small
KLCC,1670000,4,2,1463.063,Fully Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
KLCC,1560000,2,1,1022.022,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Medium
KLCC,1860000,5,2,2098.098,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Ampang,750000,2,1,950.05,Fully Furnished,Built-up,3,0,0,Serviced Residence,Silver,Small
Ampang,630000,2,1,856.056,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
Ampang,525000,2,1,570.07,Fully Furnished,Built-up,0,0,1,Serviced Residence,Bronze,Small
Cheras,899000,2,1,847.047,Partly Furnished,Built-up,2,0,0,Apartment,Silver,Small
Kuchai Lama,425000,2,1,970.07,Partly Furnished,Built-up,2,1,0,Condominium,Bronze,Small
KLCC,2060000,3,2,1426.026,Partly Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Kuchai Lama,500000,2,1,935.035,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
City Centre,1832000,3,2,2838.038,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
KLCC,1832000,3,2,1518.018,Fully Furnished,Built-up,3,0,0,Condominium,Gold,Large
Cheras,490000,2,1,719.019,Partly Furnished,Built-up,1,1,0,Serviced Residence,Bronze,Small
Cheras,495000,2,1,719.019,Unfurnished,Built-up,1,1,0,Serviced Residence,Bronze,Small
Cheras,450000,2,1,916.016,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Bukit Bintang,3622400,5,2,2013.013,Fully Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Bukit Bintang,2800000,2,1,1307.007,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Bukit Bintang,1280000,2,2,1200.0,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Cheras,985000,2,1,953.053,Partly Furnished,Built-up,2,0,0,Apartment,Silver,Small
Desa Petaling,280000,2,1,900.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Cheras,390000,1,2,619.019,Unfurnished,Built-up,1,0,0,Condominium,Bronze,Small
KLCC,825000,1,1,710.01,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Cheras,810000,3,2,48.575,Fully Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Cheras,1350000,4,2,49.575,Fully Furnished,Land area,6,1,0,Terrace/Link House,Gold,Small
Cheras,1450000,4,2,49.575,Partly Furnished,Land area,6,1,0,Terrace/Link House,Gold,Small
Cheras,500000,3,2,47.575,Partly Furnished,Land area,5,0,0,Terrace/Link House,Bronze,Small
Cheras,1750000,3,2,1895.095,Partly Furnished,Built-up,3,1,0,Apartment,Gold,Large
Mont Kiara,660000,1,1,462.062,Fully Furnished,Built-up,0,0,1,Serviced Residence,Silver,Small
Cheras,519000,2,1,962.062,Unfurnished,Built-up,2,0,0,Condominium,Bronze,Small
Cheras,730000,2,2,1137.037,Unfurnished,Built-up,3,0,0,Condominium,Silver,Medium
Cheras,580000,2,1,996.096,Unfurnished,Built-up,2,0,0,Condominium,Bronze,Medium
Cheras,790000,2,2,1125.025,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Cheras,790000,2,2,1125.025,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Setapak,228000,2,1,700.0,Partly Furnished,Built-up,3,0,0,Apartment,Bronze,Small
Segambut,299000,1,1,747.047,Partly Furnished,Built-up,1,0,0,Apartment,Bronze,Small
KLCC,2500,2,1,850.05,Fully Furnished,Built-up,1,1,0,Condominium,Bronze,Small
Segambut,560000,2,1,713.013,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Ampang,4340000,8,3,6026.026,Partly Furnished,Built-up,5,1,0,Condominium,Deluxe,Extra Large
Ampang,4320000,8,3,6000.0,Fully Furnished,Built-up,5,1,0,Condominium,Deluxe,Extra Large
Cheras,650000,2,1,914.014,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Small
Bukit Jalil,1035000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
KL City,1650000,3,1,1540.04,Fully Furnished,Built-up,3,0,0,Condominium,Gold,Large
Jalan Klang Lama (Old Klang Road),850000,3,2,1406.006,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),699000,2,2,1164.064,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),999900,4,2,1710.01,Fully Furnished,Built-up,3,2,0,Condominium,Silver,Large
KL City,1936300,3,1,1139.039,Partly Furnished,Built-up,3,0,0,Serviced Residence,Gold,Medium
KL City,1521500,2,1,895.095,Partly Furnished,Built-up,2,0,0,Serviced Residence,Gold,Small
KL City,1062800,1,1,625.025,Partly Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Taman Desa,490000,2,2,1300.0,Partly Furnished,Built-up,3,0,0,Townhouse,Bronze,Medium
Mont Kiara,980000,3,2,1828.028,Partly Furnished,Built-up,3,2,0,Condominium,Silver,Large
Sentul,480000,2,1,1323.023,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
OUG,6200000,7,10,9450.05,Fully Furnished,Land area,6,0,0,Bungalow,Deluxe,Extra Large
Bukit Jalil,780000,2,2,1404.004,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Mont Kiara,1500000,5,2,3100.0,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Setapak,460000,2,1,1018.018,Unfurnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Salak Selatan,588000,2,2,1100.0,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Cheras,383000,2,1,1025.025,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bukit Jalil,430000,2,1,1000.0,Unfurnished,Built-up,2,0,0,Apartment,Bronze,Medium
Ampang,1230000,5,2,53.585,Fully Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Kuchai Lama,6000000,8,6,7417.017,Unfurnished,Land area,7,1,0,Bungalow,Deluxe,Extra Large
Sri Petaling,2780000,5,4,80.0,Partly Furnished,Land area,5,1,0,Semi-detached House,Gold,Small
Salak Selatan,2900000,7,1,8878.078,Unfurnished,Land area,6,1,0,Bungalow,Gold,Extra Large
Bangsar,1690000,5,2,2145.045,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
KL City,7150000,6,8,13000.0,Partly Furnished,Land area,3,0,0,Bungalow,Deluxe,Extra Large
Jalan Klang Lama (Old Klang Road),580000,2,1,1270.07,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Medium
Bangsar,1580000,4,2,1858.058,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Ampang,2500000,6,3,3788.088,Partly Furnished,Built-up,4,2,0,Condominium,Gold,Extra Large
Ampang Hilir,5010000,5,4,4412.012,Unfurnished,Built-up,4,1,0,Condominium,Deluxe,Extra Large
Ampang Hilir,4030000,4,3,3648.048,Unfurnished,Built-up,3,1,0,Condominium,Deluxe,Large
Ampang Hilir,4157000,4,3,3551.051,Unfurnished,Built-up,3,1,0,Condominium,Deluxe,Large
Ampang Hilir,4705000,5,3,4293.093,Unfurnished,Built-up,4,1,0,Condominium,Deluxe,Extra Large
KLCC,3450000,4,2,2300.0,Fully Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Ampang,500000,1,1,705.005,Partly Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Bukit Bintang,1000000,3,1,1063.063,Fully Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Ampang,2500000,5,3,3847.047,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Extra Large
City Centre,1980000,2,2,2390.09,Fully Furnished,Built-up,2,1,0,Condominium,Gold,Large
Ampang Hilir,3177720,4,3,4074.074,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Extra Large
Ampang Hilir,1650000,3,2,1630.03,Fully Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
City Centre,1500000,3,2,2164.064,Partly Furnished,Land area,4,1,0,Condominium,Gold,Large
KL City,800000,2,3,1403.003,Partly Furnished,Built-up,5,0,0,Condominium,Silver,Medium
Taman Desa,598000,2,1,935.035,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Wangsa Maju,458000,2,1,29.545,Partly Furnished,Land area,3,0,0,Terrace/Link House,Bronze,Small
Dutamas,1150000,4,2,1710.01,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Mont Kiara,1100000,3,2,1605.005,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Wangsa Maju,250000,1,1,640.04,Partly Furnished,Built-up,2,0,0,Flat,Bronze,Small
Mont Kiara,1480000,4,2,1907.007,Fully Furnished,Built-up,3,0,0,Condominium,Gold,Large
Jalan Klang Lama (Old Klang Road),697000,2,1,1112.012,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Jalan Klang Lama (Old Klang Road),667000,2,1,1202.002,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Mont Kiara,2200000,6,3,4100.0,Unfurnished,Land area,5,1,0,Condominium,Gold,Extra Large
Kepong,1280000,2,3,3111.011,Unfurnished,Land area,4,0,0,Bungalow,Gold,Large
Jalan Ipoh,610000,2,2,978.078,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Kepong,720000,2,3,1292.092,Fully Furnished,Built-up,3,1,0,Serviced Residence,Silver,Medium
Dutamas,598000,2,2,1100.0,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bangsar,1680000,4,2,2200.0,Fully Furnished,Built-up,3,2,0,Condominium,Gold,Large
Bukit Jalil,900000,3,2,1450.05,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Large
Cheras,4000000,7,10,7449.049,Partly Furnished,Land area,5,0,0,Bungalow,Deluxe,Extra Large
Mont Kiara,750000,2,2,1238.038,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Sentul,460000,2,2,33.555,Fully Furnished,Land area,3,0,0,Terrace/Link House,Bronze,Small
Wangsa Maju,550000,2,2,893.093,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Dutamas,423000,1,1,646.046,Fully Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Jalan Kuching,425000,2,1,879.079,Unfurnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Wangsa Maju,390000,1,1,651.051,Partly Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Pandan Perdana,299000,1,1,450.05,Partly Furnished,Built-up,1,0,0,Condominium,Bronze,Small
Ampang,1580000,5,4,66.092,Partly Furnished,Land area,4,2,0,Semi-detached House,Gold,Small
Damansara Heights,2850000,3,2,3229.029,Partly Furnished,Land area,3,1,0,Terrace/Link House,Gold,Large
OUG,1088000,4,2,48.575,Partly Furnished,Land area,4,1,0,Terrace/Link House,Silver,Small
Jalan Klang Lama (Old Klang Road),560000,2,1,1385.085,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Ampang,799000,3,4,45.57,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Cheras,750000,3,4,53.585,Partly Furnished,Land area,3,1,0,Terrace/Link House,Silver,Small
Dutamas,790000,3,2,1400.0,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Keramat,520000,2,1,1400.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,560000,2,1,1198.098,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Kuchai Lama,1800000,5,2,51.08,Partly Furnished,Land area,6,0,0,Terrace/Link House,Gold,Small
Cheras,618000,3,2,48.575,Partly Furnished,Land area,4,0,0,Terrace/Link House,Bronze,Small
KLCC,1200000,1,1,1100.0,Partly Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Sentul,440000,2,2,1230.03,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Mont Kiara,1350000,2,3,1200.0,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Medium
Dutamas,1450000,3,1,1406.006,Partly Furnished,Built-up,2,1,0,Condominium,Gold,Medium
Sri Petaling,890000,4,3,2357.057,Partly Furnished,Built-up,4,0,0,Serviced Residence,Silver,Large
Cheras,886000,1,1,1121.021,Unfurnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
Dutamas,560000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bukit Jalil,525000,3,2,1009.009,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Setapak,550000,2,2,908.008,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Bukit Jalil,528000,2,2,1090.09,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Damansara Heights,3200000,5,4,2078.078,Fully Furnished,Built-up,5,0,0,Serviced Residence,Gold,Large
Kepong,648000,2,2,1240.04,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Bangsar,6490000,7,5,9414.014,Partly Furnished,Land area,6,1,0,Bungalow,Deluxe,Extra Large
Jalan Klang Lama (Old Klang Road),668000,2,2,1164.064,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),850000,4,2,1663.063,Partly Furnished,Built-up,4,0,0,Condominium,Silver,Large
Bangsar,3980000,4,4,6156.056,Partly Furnished,Land area,4,0,0,Bungalow,Deluxe,Extra Large
Kuchai Lama,510000,2,1,1120.02,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Klang Lama (Old Klang Road),440000,2,1,1258.058,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Kuchai Lama,580000,3,2,1500.0,Unfurnished,Built-up,4,0,0,Condominium,Bronze,Large
KLCC,1085000,2,1,1551.051,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Large
Kuchai Lama,700000,2,2,46.07,Partly Furnished,Land area,3,0,0,Terrace/Link House,Silver,Small
KLCC,1300000,1,1,860.06,Partly Furnished,Built-up,1,0,0,Condominium,Gold,Small
Bukit Jalil,1100000,3,3,2756.056,Partly Furnished,Built-up,4,0,0,Condominium,Silver,Large
Bukit Jalil,310000,2,1,818.018,Partly Furnished,Built-up,2,0,0,Apartment,Bronze,Small
Kepong,420000,2,1,1081.081,Partly Furnished,Built-up,3,0,0,Apartment,Bronze,Medium
Bukit Jalil,880000,3,2,1335.035,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Medium
KLCC,1150000,3,2,1313.013,Fully Furnished,Land area,2,1,0,Serviced Residence,Silver,Medium
Bandar Menjalara,340000,2,1,982.082,Unfurnished,Built-up,3,1,0,Condominium,Bronze,Medium
Jalan Ipoh,689000,2,2,978.078,Partly Furnished,Land area,3,0,0,Condominium,Silver,Small
Setapak,460000,1,1,753.053,Partly Furnished,Built-up,1,0,0,Condominium,Bronze,Small
Sungai Besi,500000,2,2,1180.08,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Kepong,555000,2,1,1030.03,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Mont Kiara,1800000,4,3,2700.0,Unknown,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,1350000,2,2,1868.068,Partly Furnished,Land area,3,1,0,Condominium,Gold,Large
Sentul,680000,2,2,1355.055,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Sentul,760000,2,2,1355.055,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Sentul,600000,2,2,1081.081,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Taman Desa,628000,2,1,935.035,Fully Furnished,Built-up,3,0,0,Serviced Residence,Silver,Small
Taman Desa,528000,2,1,715.015,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Taman Desa,525000,2,1,715.015,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Mont Kiara,588000,1,1,595.095,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
